,Tiếng Việt,Kon Tum,Gia Lai,Bình Định
4558,buồn rầu,"chơlau, kơbau, phiĕl",,"bơdư bơdong, bơdong"
4559,róc,"chơlă, lơleh",,sơreh
4560,không đâu,"napa, chơlă mă",,
4561,Cây cà na,chơlăt,,
4562,bông tai,"jơle, chơle, chele",,
4563,mù mịt,"ngơngĭp ngơngăk, glĭp glăp, chơleng, kơlŭng kơlăng, gleng, 'nhriu",,
4564,tối tăm,"chơleng gueu, jơleng, gơleng, gueu, kơkĕt",,"klăm klu, klăm kleng"
4565,chỉ tiếng cười rộn rã của cô gái,chơleng geng gong khă ră dă,,
4566,vỏn vẹn,"chơlĕ, chơ'bră",,
4567,bậy,chơlĭnh,Kưkă,
4568,chọc,"chơloh, khơ̆r",,tăp
4569,lông đuôi chim,chơlong,,
4570,kêu mãi mà không nghe trả lời,chơlŏng,,
4571,ăn mặc sang trọng,chơlôih,,
4572,chỉ mệnh lệnh hay yêu cầu,chơ lơ la,,
4573,thử lần đầu tên,chơlơih,,
4574,bị vạ cây,chơlơ̆m,,
4575,đút vào,chơlŭt,,tơmưt
4576,xô,"chơlŭt, kơsô",,hniễ
4577,làm,"nho, chơlŭt chơlăt, pơm","pơm, Jang",pơm
4578,hất bằng mõm,chơlưng,,
4579,nhảy chồm lên,"chơm, choh wong",,
4580,giải,"chơm, hơtang",,
4581,rộng rãi,"hơmah, dơduh dơdak, chơmah",,
4582,hạt cườm,"jơmai, dreng, chơmai, hrong, anam",,
4583,ngăm đen,"chơmăng, jơmăng",,
4584,dọn trai gái đi gom củi cháu về,chơ'mĕ chơ.mŏ,,
4585,nằm dài,"chơ'năk chơ'nôih, chơ'miơm, pông, chơ'nong",,
4586,san bằng,"chơmlang, kơlit, klăng",,
4587,chỉ tư thế đứng thẳng nằm thẳn,chơ'mlơ̆k,,
4588,hên,"jơmo, chơmo",Jơmo,
4589,chỉ ngồi hay đứng im thin thít,"chơ'mŭp, chơ'mok, chơmŏp",,
4590,cây dầu lai,"hơren, aren, chơmŏk",,
4591,chỉ ngồi hay đứng im thin thít,"chơ'mŭp, chơ'mok, chơmŏp",,
4592,bĩu môi tỏ ý không đồng tình,chơmŏp,,
4593,mu bàn tay,chơmô̆m,,
4594,lọ lem,"chơmô̆i chơ'măi, gơ'mô̆i gơ'măi, chơmrưh, chuơm chuam, kơchuơm kơchuam",,
4595,thẳng băng,"'bruơh, chơ'mơ̆r",,
4596,mồng gà,chởmang,,
4597,nhánh cây,"hơdrai, chơmreh, rơkhêu rơkhao",,
4598,nổi,"dông, chơgron, chơmron",,"gŏ, đơng"
4599,e dè,"chơ'mronh, kơ'mrunh, chơpron, kơ'mrong",,
4600,mập mạp,"chơmrơ̆p, 'nŭk 'nŭk",,
4601,lọ lem,"chơmô̆i chơ'măi, gơ'mô̆i gơ'măi, chơmrưh, chuơm chuam, kơchuơm kơchuam",,
4602,chỉ ngồi hay đứng im thin thít,"chơ'mŭp, chơ'mok, chơmŏp",,
4603,bàn,"kơ'bang, chơ'bang, hanang, chơnang",,
4604,chỉ hai người nằm dài trên mặt đất,chơ'năk chơ'nôih,,
4605,gùi nhỏ,"chơneh, reo, jrüng","jak iẽ, Hơkăt",
4606,nghiêng,gơli,,
4607,khu,"kueng, chơneng",,
4608,một phần tư,"chơner, jơner",,
4609,giấc ngủ ngắn,"chơner, jtfhngier, hngier, jơner, rơngăl",,
4610,nằm có quắp,chơ'net,,
4611,vách,"jơnẽng, chơnĕng",,
4612,dẫn dắt,chơng,,
4613,trụ,"chơng rơng, chơng brai, chơnglơ̆ng",,
4614,sải bước dài,chơng guơng,,
4615,trụ,"chơng rơng, chơng brai, chơnglơ̆ng",,
4616,giàn dây leo,"chơng rơng, dơdra",,
4617,chỉ nhiều vật nổi rõ trên bề mặt,"chơ'ngăk chơ'ngưt, chơ'ngơ̆l chơ'ngăl",,
4618,quan trọng,"chơngăm, kăl, tơngăm",,
4619,nhiệm tình,chơngăm,,
4620,khoai chí,chơngăm,,
4621,một loại cây lấy mũ làm nhựa dính để bẫy chim,chơngang,,
4622,ưởn ngực,chơ'ngang,,
4623,xanh lục đậm,chơngêt,,
4624,đỏ sậm,chơ'ngit,,
4625,ngã đường,"hơlah, chơnglah",,
4626,non,"tơnơm, hơnglai, bơnũng, piop piop, jơxeh, pơnững, chơnglai",,"kơsĕ , lốp"
4627,dụng có đào lỗ làm bằng tre,chơnglom,,
4628,lạt lẽo,"chơnglong, dơlĭl, blơ̆p",,
4629,vật lớn đổ xuống từng măng,chơnglơng,,
4630,trụ,"chơng rơng, chơng brai, chơnglơ̆ng",,
4631,cào làm bằng tre có răng để cào rác rến,"chơdraih, chơngoaih",,
4632,tha mồi,"anglong, chơngong, hơngong",,
4633,vừa đi vừa ăn,"anglong, chơngong, jơngong",,
4634,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4635,cười ha hả,"chơngơi, hih gơglĭk, rơhih",,
4636,chỉ nhiều vật nổi rõ trên bề mặt,"chơ'ngăk chơ'ngưt, chơ'ngơ̆l chơ'ngăl",,
4637,chỉ cá đứng một chỗ,chơ'ngơ̆r,,
4638,thấy rõ,chơ'ngưi,,
4639,nặng tai,chơngưt,Đon klik,
4640,thủ bản,chơnih,,
4641,loại củ rừng,"klôi, chơnin",,
4642,nhe răng,"chơnir, 'nhek lek, lek, tơhnhek, chik",,
4643,vỏ vót,chơnit,,
4644,mập ú,chơ'nit,,
4645,ống đựng lúa trỉa,"dơnoi, chơnoi",,
4646,năm dài,"chơ'nông, chơ'noih",,
4647,rảnh khoét dọc theo thân ná để đặt mũi tên,chơnok,,
4648,nằm dài,"chơ'năk chơ'nôih, chơ'miơm, pông, chơ'nong",,
4649,năm dài,"chơ'nông, chơ'noih",,
4650,rượu ghè kang đầu tiên,"chơnôr, jơnôr",,
4651,nhẫn,"'bliah, 'bliowh 'bliah, chơnơng, jơdrơng, jưdrơng, tơkiẽn",,
4652,của gà,chơnơng,,
4653,thức giấc,"chơnơr, hơnơ̆r",,yung hral
4654,vèo vèo,chơnơr,,
4655,cây vào,"chơnơ̆k, tơtõt",,
4656,chính yếu,chơnơ̆n,,
4657,đồ ăn,"prung, pơdrăn, chơnu, bơdrăn",,
4658,khoảng rừng bị cháy,chơnuh,,
4659,phần thịt ực,chơnưh,,
4660,thoa bóp,"prot, chơpĕt",,
4661,cà phê,"chơphe, kaphê","ka phê, Kơ phê, che phế",
4662,bướng bỉnh,"kơpĭl, chơpĭl",,
4663,hô răng răng nanh lại ra ngoài,chơplâu,,
4664,hô răng,"chơplô, chơplo, tơplo, chơpleu, tơplô",,
4665,hô răng,"chơplô, chơplo, tơplo, chơpleu, tơplô",,
4666,hô răng,"chơplô, chơplo, tơplo, chơpleu, tơplô",,
4667,đam nhiều nhánh,chơprê,,
4668,hào quang,chơprê,,
4669,e dè,"chơ'mronh, kơ'mrunh, chơpron, kơ'mrong",,
4670,chỉ nằm để chân lòi ra ngoài,"chơrâu, chơrô",,
4671,cầm trong tay,chơ'rĕ,,
4672,chỉ tư thế nằm ngữa,chơrê,,
4673,chỉ nhiều người hay vật lớn nằm ngữa hay nằm chết ngổn ngang,,chơrê chơra,
4674,chỉ nằm để chân lòi ra ngoài,"chơrâu, chơrô",,
4675,mừng,chơt,,"năr sa mŏk, hưch"
4676,chỗ nước cạn cá thường đi ăn đêm,chơt,,
4677,rối bù,"tơbăk tơbêng, tơbinh tơbănh, chơta, kơta",,
4678,căng,"chơkăng, tăng, jơtăng, chơtăng",,
4679,nghiên khắc,"chơkăng, chơtăng chơtĭt, jơtăng",,
4680,chỉ một người nằm chết hay bất tỉnh,"chơthơr, hơtơ̆r",,
4681,thanh kiếm,"kơthuang, chơtuang",,
4682,tiếng vang vọng lại,chơwa,,
4683,làm chướng ngại,"chơwâu, chơweu",,
4684,có hình thoi,chơwei,,
4685,làm chướng ngại,"chơwâu, chơweu",,
4686,sưng vù,"tơgu , chơwĕr, dơgu, chơwê̆",,
4687,sưng vù,"tơgu , chơwĕr, dơgu, chơwê̆",,
4688,ốm tong teo,"kơwong, chơwong, hơkĕ hơkhong",,
4689,sưng húp,"kơwông, tơ’ntíil, chơwông",,
4690,nhô ra,"bơluch, chơkhong, chơgơ̆ng, 'dŏng, chơwông",,
4691,chim chèo bẻo,"jơwoi, chơwơi",,
4692,vồ lấy,"hơwưi, chơwơi",,
4693,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4694,nhắc lại lỗi lầm,chơ̆,,
4695,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4696,bay bỏng,chơ̆k,,
4697,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4698,nhận xuống,"tơmiẽt , chơ̆",,
4699,xăm mình,"khŏng mŏn, chơ̆m",,chih akău
4700,dấu chấm,chơ̆m,,
4701,chịu đựng,"chơ̆n, tai",,
4702,chặt,"rẽi, pơrah, chơ̆ng, koh","kõh, tơkoh, Châng","al, koh"
4703,nếu,"jơh, chơ̆ng","tơdah, jơh, Hơgơ ̆m","yăh , tơ̆ng"
4704,đi không vững,chơ̆ng krơ̆ng,,
4705,phóng thích,"tơlẽch , chơ̆ng rơh",,
4706,dứt thoát,chơ̆ng rơh,,
4707,khò khè,chơ̆r chơ̆r,,
4708,nhúng,"'nhrŭ, chrah",,
4709,rải rác,chrah chrai,,
4710,cào,"chraih, kôch, tơraih, jdnoaih, hrêu, koih","Kôch, Along khir","kôch, kaĭ, paĭ"
4711,trật,"chroih, chraik hơwak, jor, chrôih",,
4712,nói bắt quàng,"chrok hơwok, chraik hơwak",,
4713,ít,"tơxẽt, kơtuĕnh, kơtuei, tôxẽt, chral, tôxẽ","tõxẽ, Tõxe`t",biê̆
4714,soi,chrang,,nhơk
4715,giọng to và rè,chrang,,
4716,chim sáo,chreo,,chơrau
4717,đơm bằng gai mây cá chui vào mà không ra được,chrau,,
4718,hóa ra,"püng, chrok hơwok, chrau, piơ̆l, chuêng",,
4719,chiếu,"akok, hơkok, chră","Hơkok, Pơdah","sră, chiêu , jơdră "
4720,chiếu sáng,chră ang,,
4721,soi sáng,"chră prang, pơrang",,
4722,bừa bãi,"kư̆ kă, ptf'nhiu pd'nhau, chrăm, chơ'bră chơ'brĕch, chơ'brơ̆ chơ'bră",,
4723,rạn,"ang, chrăn",,
4724,dây nịt,chrăn,,
4725,hoa ra,"chrêu, chrơch, chrâu",,
4726,tỉa,chre,,
4727,chỉ kẻ trước người sau,chrech chroch,,
4728,vạch,"chrek, tơha",,
4729,thưa,"hui, brang, hrêu hrao, chrel, rơch, kơbrêu kơbrao",,"tơ̆l, hui"
4730,võn vẹn,"chrĕ, tơhlẽl ",,
4731,sáng rực,"chrê chra, chơbrue chơbrua, prê pra",,rang jơdah
4732,lấp lánh,"nhĕp  nhĕl, plêr, chrêl chral",Chơ che ̆ r,
4733,hoa ra,"chrêu, chrơch, chrâu",,
4734,lạ làng,chrih,,
4735,tuyệt diện,chrih chrai,,
4736,lạc giọng,chring chrang,,
4737,hôi hám,"pơ-ih, chrĭ",,
4738,chỉ tiếng chày giã gạo thình thịch,chrĭk chrŭk,,
4739,khác thường,chrĭng chrĭng,,
4740,chìa tay,"hơbră, chro",,
4741,tiếng chim bồ chao hót,chro pơlang,,
4742,bị tiên chảy,chroh,,
4743,rạch thành đường nhỏ,chroih,,
4744,trật,"chroih, chraik hơwak, jor, chrôih",,
4745,hóa ra,"püng, chrok hơwok, chrau, piơ̆l, chuêng",,
4746,nói bắt quàng,"chrok hơwok, chraik hơwak",,
4747,thành luồng,"chrot, chruơng, nhrôt",,
4748,chỉ nước vọt ra ít,chrŏi,,
4749,tiếng tõm của vật nhỏ rơi xuống nước,chrŏm,,
4750,chỉ nước rĩ ra nhiều chỗ,chrôch chrach,,
4751,trật,"chroih, chraik hơwak, jor, chrôih",,
4752,kém,chrôih,Hotu`k,"biê̆ loi, đim khơh"
4753,đặt lên cao,chrông,,
4754,khâu lược,chrông nhrôt,,
4755,thành luồng,"chrot, chruơng, nhrôt",,
4756,chỉ nước chảy sối xả,chrô̆ chrô̆,,
4757,hoa ra,"chrêu, chrơch, chrâu",,
4758,rừng có nhiều cây lớn và thẳng tắp,chrơ̆ch chrăng,,
4759,tiếng sừn sựt khi nhau thức ăn dai cứng,chrơ̆t chrăt,,
4760,reo vang,chrơu,,
4761,cá tràu,"chruah, chruơh",,
4762,tưới,chruih,,chruh đak
4763,cá tràu,"chruah, chruơh",,
4764,thành luồng,"chrot, chruơng, nhrôt",,
4765,thành hàng,chruơt,,
4766,từ từ đâm thân qua hay lặn xuống nước,"chup, chrup",,
4767,tiếng róc rách,chrŭk chrŭk,,
4768,tiếng ùm của vật lớn nhảy hay rơi xuống nước,chrŭm,,
4769,tiếng tõm của vật nhỏ nhảy xuống nước,chrŭp,,
4770,chỉ vật nổi lành bềnh,chrưl chrưl,,
4771,vò trong tay,chu chi,,
4772,cố gắng hết sức,chu chi,,
4773,cát,"choah, chuah, chuơh",,chuôh
4774,rút ra một cách nhẹ nhàng,"chuak, chuơk",,
4775,chuông nhỏ,"choang, chuang",,
4776,loại cây có gai,chuar,,
4777,nỗi vân 2 nói vết lằn,chuat,,
4778,chộp lấy,"choă, chuă, kruih",,
4779,đạn,"chuă, ding",,
4780,đan,"choă, chuăk",,tanh
4781,nhảy vọt lên khỏi mặt nước,"chuăk, chuăr",,
4782,quấn dây,chuăl,,
4783,gác lại sau,chuăn,,
4784,lẩn đi mất,phuăng,,
4785,nhảy vọt lên khỏi mặt nước,"chuăk, chuăr",,
4786,thức ăn kỵ nhau khi trộn chung,chuăr,,
4787,uốn vành giỏ,chuet,,
4788,chớp lấy,chuĕch,,
4789,hóa ra,"püng, chrok hơwok, chrau, piơ̆l, chuêng",,
4790,thật,"chuêng, dơdĕk, tơdẽk",,
4791,nói bất quang,"püng, chuêng",,
4792,ngã chúi mặt,"chŭt lŭt, bơlum, chuh mŭm, chŭp mui, chum lơlum, chum mum",,
4793,phì phà,chui glŭng,,
4794,trui,chuih,,
4795,một loại chuột,chuk,,
4796,có khoang trắng,chuk,,
4797,ngã chúi mặt,"chŭt lŭt, bơlum, chuh mŭm, chŭp mui, chum lơlum, chum mum",,
4798,ngã chúi mặt,"chŭt lŭt, bơlum, chuh mŭm, chŭp mui, chum lơlum, chum mum",,
4799,cát,"choah, chuah, chuơh",,chuôh
4800,rút ra một cách nhẹ nhàng,"chuak, chuơk",,
4801,lọ lem,"chơmô̆i chơ'măi, gơ'mô̆i gơ'măi, chơmrưh, chuơm chuam, kơchuơm kơchuam",,
4802,nỗi vần,chuơt,,
4803,nhảy vật lên khỏi mặt nước,chuơ̆k,,
4804,nhảy với lên khỏi mặt nước,chuơ̆r,,
4805,từ từ đâm thân qua hay lặn xuống nước,"chup, chrup",,
4806,chui,chur,,"blung, mưt"
4807,chấm,"chăm phĕch, chŭ","chu`, Hơmet",
4808,bệnh đậu mùa,chŭ,,
4809,thần lần,chŭ chă,,
4810,miễn là,"chŭ mă, chư̆ mă, chô̆ mă, kơchơ̆ mă",,
4811,thấy giảng,chữ yao phu,,
4812,hôn,chŭm,Chũm,hut
4813,chỗ sông uốn khúc,chŭn,,
4814,cùng nhau,"tơbrìl, chŭng",,jơnŭm jơnăm
4815,kiến vàng có cánh xuất hiện sau cơn mưa lớn,chŭng,,
4816,vồ,chŭp,Chu ̆p,chup
4817,vốc,chŭp,,
4818,ngã chúi mặt,"chŭt lŭt, bơlum, chuh mŭm, chŭp mui, chum lơlum, chum mum",,
4819,tiếng chim đáp muỗi kêu,chŭr chŭr,,
4820,lom khom,chŭt kochŭr,Tơgo ̆ n,
4821,đẩy củi vào cho cháy,"hơchŭt, chŭt",,
4822,sụt sùi,chŭt chu,,
4823,ngã chúi mặt,"chŭt lŭt, bơlum, chuh mŭm, chŭp mui, chum lơlum, chum mum",,
4824,chữ,chư,,chư
4825,miễn là,"chŭ mă, chư̆ mă, chô̆ mă, kơchơ̆ mă",,
4826,tiếng rủ nhau,"chư lư la, eĕ",,
4827,hất đổ bằng mõm,chưk,,
4828,ham mê,"nhăng, chưn, nhan, ngê̆",Hưch hanh,
4829,vòng đeo cổ,chương,,
4830,chim đa đa,"tăk kơda, da da",,
4831,hoặc,dah,Jah,"jah, hĕi"
4832,mau,"rẽnh, dah, axram, hmĕnh",,kuăng 
4833,mau mau,dah dah,,
4834,nảy mầm,"chăt, 'dah",,
4835,lúa đã mọc khắp đấy, ,,
4836,xệ xuống,dai,,
4837,mời,"tơkơi, dai, tơjak, jak",,"ploh, hnhŭk"
4838,loại cây có gỗ đỏ,dai mai,,
4839,điện múa trống cơm đẹp mắt,dai wai,,
4840,bờ,"daih, keng, jaih, kơmŭch",,bơ
4841,nước,"blăng, dak",,đak
4842,mặt đáy bằng,dal,,
4843,cạn,"kơdă, dal","Đal, đơng, hrơ`",sriễ
4844,dây dàm cột vào đầu bò để dắt,dam,,
4845,chính xác,"'dam, klăk, dơdrăng",,
4846,tôi tớ,'dam,,
4847,để,"dan, lê̆",,sư̆
4848,xong,"tôch kơ, lơ̆m, dang","keh, Đang","keh , hơleh"
4849,chỉ tư thế nằm,dang bĭch,,
4850,mãi,"dang dang, dơdeh, khŏm khŏm",,ling
4851,tức khắc,"dang dang, tă kơtă",,
4852,loại cào cào màu vàng,dang dăk,,
4853,loại nhái nhỏ,dang dar,,
4854,quỳ,dang dŏt,,tơkul kơtăng
4855,tư thế đứng,"chơ'mlơ̆k, dang dơ̆ng, hơ-iung",,
4856,hàng rào sơ soi làm bằng le bốn cong,dang dŭk,,
4857,bầu trời,"dang dŭk, phôt phông, plĕch, rơwỡng",,
4858,bây giờ,"ahrai, dang ei",,ahrĕi ơ̆u
4859,loại ốc rất nhỏ,dang hah,,
4860,cây đặt chéo hay dây căng chéo dưới mái nhà để giữ nhà cho vững chắc,,dang har,
4861,chừng nấy,dang noh,,
4862,trước mặt,"kơdrơi, kơdrei, 'dang măt, 'dih 'ngir",,
4863,chân quỳ chân đứng,dang xơng,,
4864,chừng nào,"dang yơ, cha mă",,
4865,kiếm,"khă, dao",,chă 
4866,đá bàn,'dar,,
4867,thanh ngang chận giữa lưỡi kiếm và chuôi,'dar,,
4868,vừa đi vừa chổng đuôi,'dat 'dat,,
4869,người hay đi lại,'dat 'dat,,
4870,dầu lửa, 'dă,,
4871,đố,'dă,,
4872,khá hơn,"plơi, dă 'biơ̆",,
4873,sách giáo lý,'dă hiĕp,,
4874,thừa kịp,dă tơdă,,
4875,giống dây,dăng,,
4876,thả lưới,dăng,,
4877,tiếng gọi trai cưng,dăm,,
4878,đáng kiếp,"'dăo, hmăi",,
4879,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
4880,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4881,người ta,de,,đe
4882,một loại chim rất nhỏ,de de,,
4883,một loại chim giống như bìm bịp,de drok,,
4884,nhanh,"deh, gơxơ̆r, dĕnh",,kuăng 
4885,đan long mốt,"deh, doh",,
4886,như vậy,"deh, thoi noh, ei leh",,
4887,đã rồi,deh,,
4888,nở,"deh, cheh, blar",,chôh
4889,nổ lách cách,'deh,,
4890,chờ mãi,deh deh,,
4891,thao thức suốt đêm,'deh pơ'deh,,
4892,có,"ơ̆i, dei, dơi",,"ơĭ, đơ̆i"
4893,giao cấu,del,,
4894,sắp sửa hết,del del,,
4895,thư,"băng, deng",,kơthơ 
4896,chim chìa vôi,der,,
4897,vắt,"plơm, det, tơmõt , pơvvẽnh, bơwẽnh, diet","pe ̆t, We ̆nh",
4898,chim két,det,,
4899,thôi,"prüng, 'bo, 'dĭk, dĕch, leng",,
4900,nấc cụt,"kơ'nĕk 'nŏk, dĕk dŏk, 'nĕk 'nŏk",,
4901,đu đưa,"giang giat, hiôt, dĕl dŏl, ngơngiơt, dĭl dŭl",Teh tong,
4902,nói chuyện chơi,dĕk dơ̆k,,
4903,lắc qua,dĕl dŭl,,
4904,chân quanh đìa bằng phên để bắt cá,dĕng,,
4905,ngón út,"dĕng, hơdĕng",,
4906,sau là,dang ang,,
4907,vẫy vùng,"dĕng dŏng, glơi môch",,
4908,nhanh,"deh, gơxơ̆r, dĕnh",,kuăng 
4909,mỏng tanh,"ttf'lep, dĕr tơdĕr, hlơ hliak, rơhiak, dĭr tơdĭr, tơdep",,
4910,bay lượn,"axơ̆ng, dĭr tơdĭr, dĕr tơdĕr",,apăl asơl 
4911,bị nhục,dê,,
4912,xứ sở,"char kơmar, dêh",,
4913,bưng,"pŏng, dêk",,chĕp 
4914,giở lên,"pơ'dik, akơn, dêk, hanan, pơ'dêk, hanơl",,
4915,dấu vết,dêl,,điêl
4916,giống như trước,"'ni 'năi, 'dêl 'dăi",,
4917,nút thòng lọng,dien,,
4918,lâu hết,"jĕn, diĕn",,
4919,cử,diĕng,,
4920,đã làm phép,diĕng,,
4921,cấm kỵ,diĕng,,
4922,vắt,"plơm, det, tơmõt , pơvvẽnh, bơwẽnh, diet","pe ̆t, We ̆nh",
4923,của,dih,,dĭ
4924,đón,dih,Sơng,gô răp
4925,trước mặt,"kơdrơi, kơdrei, 'dang măt, 'dih 'ngir",,
4926,nhau,"dihbăl, pơnên, tơlum ",,
4927,nâng lên,'dik,,
4928,chỉ sự chuyển động lên xuống,'dik 'dôk,,
4929,hiền lành,"dim, rơnim, dim rơnim",Dim rơnim,khôn kheŭ
4930,ăn ít,dim,,
4931,hiền hậu,dim dông,Iâm dim,
4932,hiền lành,"dim, rơnim, dim rơnim",Dim rơnim,khôn kheŭ
4933,chưa,"tam, dim",,đim
4934,thùng thình,"dim dôm, rơruơh",,
4935,tiếng ầm đạn nổ,ding,,
4936,ống tre,"ju je, ding",,
4937,một loại nhạc cụ gồm nhiều ống lồ ô đặt trên giận,'ding but,,
4938,tùng tùng,"'dŭr 'dŭr, ding ding, dŭng dŭng",,
4939,nấm mèo,ding dĭr,,
4940,chim dù dì,"dit dit, ding dit",,
4941,hoa tai,'ding 'don,Hơle,
4942,tiếng cồng chiêng,ding dơng,,
4943,ống tre nứa,'ding,,
4944,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
4945,theo dõi xa xa,diong,,
4946,nói,"khan, diơ, pơma",,"khan, tơja, pơđam, akhan"
4947,tha hồ,"dơhmăn, tơhmăn , jơhmăn, hmăn, diơ hmăn",,
4948,chim dù dì,"dit dit, ding dit",,
4949,cũng,"adoi, dĭ, hơdoi, duh",,"kung , hơdơi"
4950,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
4951,tất cả,dĭ,,đí
4952,cùng có nhau,'dĭ 'dĭ,,
4953,người nô lệ,'dĭch,,
4954,thôi,"prüng, 'bo, 'dĭk, dĕch, leng",,
4955,tiếng ầm ầm,"dĭk dĭk, ring ding",,
4956,đu đưa,"giang giat, hiôt, dĕl dŏl, ngơngiơt, dĭl dŭl",Teh tong,
4957,võng,dĭng dŭng,,
4958,ấn xuống,dĭp,,
4959,mỏng tanh,"ttf'lep, dĕr tơdĕr, hlơ hliak, rơhiak, dĭr tơdĭr, tơdep",,
4960,bay lượn,"axơ̆ng, dĭr tơdĭr, dĕr tơdĕr",,apăl asơl 
4961,chậm rì,do,,
4962,bến đò,'do,,
4963,dài lòng thòng,"dông dôih, do tơdo, dô tơdô",,
4964,vị anh hùng dân tộc Bana,doa,,
4965,người có uy,doan,,
4966,hút,"jrep, ngok, doch","Iep,  ĩnh ưh kơ et hỡt., trep, doch",hep
4967,đan long mốt,"deh, doh",,
4968,đeo,doh,"đoh, yeng, B`ot, b`ăk","đoh, bot, bĕng"
4969,nổ,"'doh, 'dôh",,
